No,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Competency
1,Which Kubernetes autoscaling mechanism adjusts the CPU and memory requests and limits of existing Pods based on historical usage data?,Horizontal Pod Autoscaler (HPA),Cluster Autoscaler (CA),Vertical Pod Autoscaler (VPA),Node Problem Detector (NPD),Custom Pod Autoscaler (CPA),C,"VPA analyzes resource usage and modifies the resources.requests and resources.limits for containers within Pods, aiming for optimal resource allocation. HPA changes replica counts, and CA changes the number of nodes.",Autoscaling
2,"What is the fundamental characteristic of a ""Serverless"" computing model from the developer's perspective?",The complete absence of servers in the underlying infrastructure.,The ability to run code without managing or provisioning underlying servers or infrastructure.,The use of specialized hardware accelerators for function execution.,A pricing model based solely on CPU cycles consumed.,The requirement to write code only in specific languages like Node.js or Python.,B,"Serverless abstracts away the underlying infrastructure (servers, OS, patching). Developers provide code/functions, and the platform handles provisioning, scaling, and management needed to run that code, often triggered by events.",Serverless
3,What is the primary role of the Cloud Native Computing Foundation (CNCF)?,To develop and sell commercial distributions of Kubernetes.,To define and enforce specific implementation details for cloud provider services.,"To host and nurture open source projects, fostering collaboration in the cloud native ecosystem.",To directly manage the development lifecycle of the Linux kernel.,To certify individual developers as cloud native experts through exams only.,C,"CNCF provides a neutral home for critical open source projects (like Kubernetes, Prometheus, Envoy), offering governance, marketing, and community support to promote the adoption of cloud native technologies.",Community and Governance
4,"In a typical cloud native environment, which persona is primarily focused on building and maintaining the underlying platform (e.g., Kubernetes cluster) itself?",Application Developer,End User,Platform Engineer / Operator / SRE,Data Scientist,Business Analyst,C,"Platform Engineers, Operators, or Site Reliability Engineers (SREs) are responsible for the infrastructure and tooling that Application Developers use. They focus on reliability, scalability, security, and maintainability of the platform.",Roles and Personas
5,"Why are open standards like the OCI specifications (Image Format, Runtime) crucial for the health of the container ecosystem?",They guarantee containers will run faster than virtual machines.,They enforce the use of a single vendor's container tools for consistency.,"They promote interoperability and portability, preventing vendor lock-in and fostering innovation.",They eliminate the need for container security scanning.,They define the API specifications for Kubernetes itself.,C,"Open standards ensure that container images built with one tool can be run by different runtimes, and that different tools can work together. This gives users flexibility, prevents vendor lock-in, and allows the ecosystem to innovate collaboratively.",Open Standards
6,The Horizontal Pod Autoscaler (HPA) in Kubernetes primarily makes scaling decisions based on what kind of information?,Historical resource usage patterns over weeks.,The number of nodes currently available in the cluster.,"Observed metrics like CPU utilization, memory usage, or custom metrics from Pods.",The declared priorityClassName of the Pods.,The size of the container images being used.,C,"HPA monitors metrics associated with the Pods it targets (e.g., average CPU utilization). When these metrics cross predefined thresholds, HPA adjusts the replicas count of the workload resource (e.g., Deployment, StatefulSet) accordingly.",Autoscaling
7,"Which statement best describes Functions-as-a-Service (FaaS), a common implementation of serverless?","A platform for running long-lived, stateful applications with persistent connections.","An architecture where applications are decomposed into large, independently deployable services.","A model for executing stateless, event-triggered code functions without managing server infrastructure.",A service that automatically converts monolithic applications into containerized microservices.,A managed Kubernetes offering from a cloud provider.,C,"FaaS platforms (like AWS Lambda, Google Cloud Functions, Knative Serving) are optimized for running small, stateless pieces of code (functions) in response to events (e.g., HTTP requests, queue messages, file uploads), abstracting away the underlying execution environment.",Serverless
8,"What does it typically mean for a project to be ""Graduated"" within the CNCF?",The project is no longer actively maintained or supported by the CNCF.,The project has just been accepted into the CNCF Sandbox stage.,"The project has demonstrated widespread adoption, stability, and strong governance.",The project is mandated for use by all CNCF member companies.,The project's source code has been formally verified for security flaws.,C,"Graduation is the highest maturity level for CNCF projects. It signifies that a project is mature, widely used in production, has healthy community dynamics, strong governance, and meets CNCF's criteria for stability and ecosystem impact.",Community and Governance
9,"Which persona is most likely to interact directly with kubectl daily to deploy, troubleshoot, and manage applications running on the Kubernetes platform?",Platform Operator managing the cluster infrastructure.,Application Developer deploying and managing their specific microservices.,End User accessing the application through a web browser.,CNCF maintainer reviewing project proposals.,Security auditor reviewing RBAC policies.,B,"While Operators also use kubectl, Application Developers are typically the primary users interacting with the Kubernetes API via kubectl to manage the lifecycle of their applications (Deployments, Services, ConfigMaps, etc.) deployed onto the platform provided by Operators.",Roles and Personas
10,The Container Network Interface (CNI) standard primarily addresses which aspect of container orchestration?,Container image building and distribution.,Container runtime execution and lifecycle management.,Network connectivity and IP address management for containers/Pods.,Persistent storage provisioning and attachment for containers.,Security policy enforcement within containers.,C,"CNI defines a standard interface between container runtimes (or orchestrators like Kubernetes via kubelet) and network plugins. These plugins are responsible for wiring containers into the host network and assigning IP addresses, enabling Pod-to-Pod communication.",Open Standards
