No,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Competency
1,What core principle of cloud-native application delivery emphasizes treating infrastructure components and application deployments as disposable units replaced on update?,Statefulness,Mutability,Immutability,Manual Configuration,High Cohesion,C,"Immutability means that once an artifact (like a container image or a VM image) is created, it is not changed. Updates happen by deploying new instances based on new artifacts and replacing the old ones. This leads to more predictable and reliable deployments compared to mutating running instances.",Application Delivery Fundamentals
2,"In GitOps, what serves as the single source of truth for the desired state of the application and infrastructure?",The running cluster state queried via kubectl.,A configuration management database (CMDB).,A Git repository containing declarative configuration manifests.,A wiki page maintained by the operations team.,The CI/CD pipeline logs.,C,"The core idea of GitOps is that the Git repository contains the authoritative definition of the desired state (e.g., Kubernetes manifests, Helm charts, Kustomize overlays). All changes to the desired state are made via commits to this repository.",GitOps
3,What is the primary goal of Continuous Integration (CI) in a CI/CD pipeline?,To automatically deploy every code change directly to production.,To frequently merge code changes into a central repository and automatically build and test the application.,To manage the Git repository permissions for developers.,To provision the underlying infrastructure required for deployment.,To manually review code quality before merging.,B,CI focuses on automating the process of integrating code changes from multiple contributors into a shared repository. Each integration is verified by an automated build and test 1  sequence to detect issues early. It does not typically involve deployment to production itself (that's CD).,CI/CD
4,How does the declarative nature of Kubernetes manifests support cloud-native application delivery principles?,By requiring developers to specify exact imperative commands for deployment.,"By allowing users to define the desired state, leaving the how to the orchestrator's control loop.",By enforcing the use of specific programming languages for applications.,By automatically generating Git repositories for each application.,By integrating directly with billing systems for cost management.,B,"Declarative configuration (like K8s YAML) focuses on specifying the desired end state (e.g., ""I want 3 replicas of this image running with this config""). The orchestrator (Kubernetes) continuously works to reconcile the actual state with this desired state. This contrasts with imperative approaches that specify step-by-step commands.",Application Delivery Fundamentals
5,What is the role of a GitOps agent or operator (like Argo CD or Flux) running within the Kubernetes cluster?,To build container images from source code committed to Git.,To run automated tests against application code in Git.,To continuously monitor the Git repository and reconcile the cluster state to match the desired state in Git.,To provide a web UI for developers to manually apply manifests to the cluster.,To manage user access control to the Git repository.,C,"The GitOps operator runs in the cluster and acts as the reconciliation engine. It detects differences between the desired state defined in Git and the actual state in the cluster, then takes action (e.g., using kubectl apply) to converge the cluster state towards the desired state.",GitOps
6,What distinguishes Continuous Delivery from Continuous Deployment within a CI/CD pipeline?,Continuous Delivery involves manual testing; Continuous Deployment is fully automated.,Continuous Delivery deploys to production automatically; Continuous Deployment requires manual approval.,Continuous Delivery ensures code is always deployable; Continuous Deployment automatically deploys it.,Continuous Delivery focuses on infrastructure; Continuous Deployment focuses on application code.,Continuous Delivery uses Git; Continuous Deployment uses SVN.,C,"Continuous Delivery automates the pipeline up to the point where the build artifact is ready and verified for release, but a manual approval step is typically required for production deployment. Continuous Deployment goes further, automatically deploying every verified build to production without manual intervention.",CI/CD
7,Why is a feedback loop important in cloud-native application delivery?,It eliminates the need for version control systems like Git.,It ensures that only senior developers can deploy applications.,"It provides visibility into the deployment process and application health, enabling quick response to issues.",It mandates the use of specific cloud providers for hosting.,It replaces the need for automated testing.,C,"Effective application delivery requires feedback loops at various stages – CI tests provide feedback on code quality, deployment tools report success/failure, and observability tools provide feedback on application health post-deployment. This allows teams to detect and respond to problems quickly.",Application Delivery Fundamentals
8,"In the ""pull-based"" GitOps model, where does the initiative for updating the cluster state originate?",The CI server pushes changes directly to the Kubernetes API server.,The developer manually runs kubectl apply from their workstation.,The GitOps operator running inside the cluster pulls changes from the Git repository.,An external webhook triggers the update based on Git commits.,The Git repository pushes changes directly to the cluster nodes.,C,"In the pull model, the GitOps operator deployed within the cluster periodically checks the Git repository for changes or receives webhook notifications. It then ""pulls"" the manifests and applies them to the same cluster where it's running. This is generally considered more secure than external systems pushing changes in.",GitOps
9,"What is the primary function of a container registry (e.g., Docker Hub, Google Container Registry, Harbor) in the CI/CD process?",To store source code repositories.,To run automated unit and integration tests.,To store and distribute container images built by the CI process.,To host Kubernetes manifest files declaratively defining deployments.,To manage DNS records for deployed applications.,C,"After the CI pipeline successfully builds and potentially tests a container image, it pushes this immutable artifact to a container registry. The CD system (or GitOps operator) then pulls the specified image version from the registry during deployment to the target environment (e.g., Kubernetes).",CI/CD
10,What cloud-native delivery concept involves gradually shifting traffic from an old version of an application to a new version while monitoring performance?,Blue/Green Deployment,Rolling Update,Canary Release,A/B Testing,Recreate Deployment,C,"A Canary Release introduces the new version to a small subset of users/traffic first. If monitoring shows the new version is stable and performs well, traffic is gradually shifted until the new version handles all traffic. This minimizes the blast radius of potential issues.",Application Delivery Fundamentals
