No,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Competency
1,Which of the three pillars of observability is best suited for understanding the end-to-end journey of a request as it traverses multiple microservices?,Metrics,Logs,Traces (Distributed Tracing),Events,Alerts,C,"Distributed tracing captures the flow of a request across service boundaries, including timing information for each step. This allows developers to visualize the entire request path, identify bottlenecks, and understand service dependencies. Metrics aggregate data, logs provide discrete event info.",Telemetry & Observability
2,What is the primary mechanism by which Prometheus collects metrics data from target applications or services?,Targets push metrics to the Prometheus server via an agent.,Prometheus queries a central message bus where targets publish metrics.,Prometheus actively scrapes (pulls) metrics from HTTP endpoints exposed by the targets.,Targets write metrics directly to Prometheus's time-series database (TSDB).,Prometheus uses SNMP traps sent by the targets.,C,Prometheus operates on a pull model. It periodically sends HTTP requests to configured targets (or targets discovered via service discovery) on specific endpoints (usually /metrics) to retrieve their current metric values.,Prometheus
3,How can Kubernetes resource usage metrics (like CPU and memory consumption per Pod) directly inform cost management efforts?,By automatically adjusting application code to be more efficient.,By providing data to identify over-provisioned resources and potential waste.,By enforcing strict network policies to reduce data transfer costs.,By predicting future cloud provider price changes.,By increasing the number of replicas for cost distribution.,B,"Monitoring resource utilization allows teams to see if Pods consistently use less CPU/memory than requested/limited. This data highlights opportunities to right-size resource requests, reducing waste and potentially lowering costs by allowing more efficient packing of Pods onto nodes or using smaller nodes.",Cost Management
4,"What distinguishes ""observability"" from traditional ""monitoring""?",Monitoring uses dashboards; Observability uses only logs.,"Monitoring focuses on predefined metrics (""known unknowns""); Observability aims to infer system state from outputs (""unknown unknowns"").",Observability is only applicable to serverless architectures; Monitoring is for VMs.,Monitoring relies on pulling metrics; Observability relies on pushing logs.,Observability replaces the need for alerting systems.,B,"Traditional monitoring often tracks predefined key metrics against thresholds (did CPU usage cross 80%?). Observability is broader, focusing on equipping systems with telemetry (logs, metrics, traces) so engineers can ask arbitrary questions and understand novel or emergent system behaviors without pre-configuration.",Telemetry & Observability
5,"What is the role of an ""exporter"" in the Prometheus ecosystem?",To visualize Prometheus metrics in dashboards (like Grafana).,To push alerts from Prometheus to notification channels (like Slack).,To translate metrics from non-Prometheus native systems into the Prometheus format.,To store long-term Prometheus metrics data in remote storage.,To configure Prometheus scrape targets automatically.,C,"Many systems (e.g., databases, hardware, messaging queues) don't expose Prometheus metrics natively. Exporters are helper applications that query these systems for metrics, convert them into the Prometheus text exposition format, and expose them on an HTTP endpoint for Prometheus to scrape.",Prometheus
6,"Which Kubernetes feature helps prevent individual workloads or namespaces from consuming excessive cluster resources, thereby aiding cost control?",NetworkPolicy,ServiceAccount,ResourceQuota,Ingress,PodDisruptionBudget,C,"ResourceQuotas allow administrators to set constraints on the total amount of resources (CPU, memory, storage, object counts) that can be consumed within a specific namespace. This prevents resource hogging and helps manage costs associated with resource consumption.",Cost Management
7,What are the three main components (pillars) typically associated with observability in cloud-native systems?,"Performance, Scalability, Reliability","Logs, Metrics, Traces","Containers, Orchestration, Microservices","Authentication, Authorization, Auditing","CI/CD, GitOps, Infrastructure-as-Code",B,"Logs (discrete events), Metrics (numeric, aggregatable measurements over time), and Traces (request lifecycle across services) are widely considered the three foundational pillars providing visibility into system behavior.",Telemetry & Observability
8,"In PromQL (Prometheus Query Language), what is the primary purpose of ""labels""?",To define the alert conditions for firing rules.,To specify the time duration for a query range.,"To add dimensions (key-value pairs) to metrics for filtering, aggregation, and grouping.",To configure the scrape interval for specific targets.,To encrypt sensitive information within metric data.,C,"Labels are fundamental to Prometheus's data model. They allow metrics with the same name to be differentiated based on attributes like instance, job, service, environment, etc. PromQL uses these labels extensively for selecting and manipulating time series data.",Prometheus
9,Analyzing which type of observability data would be most effective in identifying inefficient database queries that contribute significantly to application latency and potentially cloud costs?,Infrastructure metrics (CPU/Memory usage of the database Pod).,Distributed traces showing long durations for database spans within application requests.,Kubernetes event logs for the database deployment.,Network flow logs between the application and the database.,Security audit logs from the database server.,B,"While infrastructure metrics might show high load, distributed traces pinpoint which specific database operations (represented as spans within a trace) are taking the longest time during user requests. This directly identifies inefficient queries impacting latency and potentially driving higher resource use (cost).",Cost Management
10,"What does ""instrumentation"" mean in the context of application observability?",Automatically installing monitoring agents on application hosts.,"Adding code to an application to generate and export telemetry data (logs, metrics, traces).",Configuring firewall rules to allow monitoring traffic.,Visualizing telemetry data in dashboards like Grafana.,Writing PromQL queries to analyze application performance.,B,"Instrumentation is the process of adding code (using libraries like OpenTelemetry SDKs or Prometheus client libraries) to an application so that it emits signals about its state and behavior – creating log entries, incrementing metric counters, starting/ending trace spans.",Telemetry & Observability
